ticket_id,customer_id,opened_at,resolved_at,satisfaction_score
37,95,2025-11-22 00:00:00,2025-11-22 11:10:23.992326,1
38,145,2025-12-20 00:00:00,2025-12-20 15:04:26.363919,1
39,159,2026-03-12 00:00:00,2026-03-12 10:21:26.208357,3
40,194,2026-04-27 00:00:00,2026-04-27 00:44:40.497784,2
41,6,2026-04-26 00:00:00,2026-04-26 00:55:35.861006,3
42,115,2026-03-09 00:00:00,2026-03-09 11:36:14.979614,2
43,226,2026-04-02 00:00:00,2026-04-02 23:25:32.664564,3
44,180,2026-01-15 00:00:00,2026-01-15 01:43:00.542946,2
45,157,2025-11-02 00:00:00,2025-11-02 06:21:28.565256,5
46,239,2025-12-02 00:00:00,2025-12-02 05:16:26.162259,5
47,53,2026-01-10 00:00:00,2026-01-10 01:11:17.952379,2
48,238,2026-06-21 00:00:00,2026-06-21 02:25:42.557869,4
49,154,2025-12-15 00:00:00,2025-12-15 10:19:07.728699,3
50,214,2025-12-21 00:00:00,2025-12-21 01:41:09.927583,5
51,169,2026-05-05 00:00:00,2026-05-05 01:07:33.766320,2
52,118,2025-10-23 00:00:00,2025-10-23 01:43:32.969172,3
53,191,2025-07-23 00:00:00,2025-07-23 02:17:57.280673,4
54,108,2025-08-03 00:00:00,2025-08-03 09:03:05.242852,5
55,171,2025-12-07 00:00:00,2025-12-07 03:08:16.200636,4
56,191,2026-05-29 00:00:00,2026-05-29 15:09:38.780154,1
57,145,2025-11-27 00:00:00,2025-11-27 06:19:28.942932,2
58,64,2026-04-22 00:00:00,2026-04-22 00:28:34.680853,1
59,38,2026-05-23 00:00:00,2026-05-24 12:33:15.674440,4
60,130,2025-12-09 00:00:00,2025-12-09 02:42:31.132978,5
61,159,2026-02-10 00:00:00,2026-02-10 02:59:22.195313,5
62,77,2026-06-13 00:00:00,2026-06-13 05:58:55.266414,2
63,104,2026-01-15 00:00:00,2026-01-15 14:00:34.447198,5
64,223,2026-05-25 00:00:00,2026-05-25 01:35:31.283924,3
65,158,2025-11-24 00:00:00,2025-11-24 20:00:58.492690,5
66,83,2026-01-04 00:00:00,2026-01-04 04:47:51.678146,2
67,198,2025-12-02 00:00:00,2025-12-02 03:50:19.833800,3
68,140,2026-05-23 00:00:00,2026-05-23 02:19:41.280059,1
69,187,2025-10-01 00:00:00,2025-10-01 05:15:01.860916,3
70,181,2025-12-17 00:00:00,2025-12-17 02:16:19.376342,3
71,88,2026-04-24 00:00:00,2026-04-24 01:43:42.303674,1
72,187,2025-09-29 00:00:00,2025-09-29 05:06:38.521531,4
73,44,2026-01-10 00:00:00,2026-01-10 03:45:27.214960,2
74,223,2025-07-06 00:00:00,2025-07-07 15:53:45.270805,5
75,172,2026-01-07 00:00:00,2026-01-07 02:15:49.934841,3
76,29,2025-11-20 00:00:00,2025-11-20 11:23:06.577971,3
77,62,2026-03-18 00:00:00,2026-03-18 01:33:29.782960,5
78,140,2026-01-24 00:00:00,2026-01-24 02:06:27.571415,5
79,10,2025-07-09 00:00:00,2025-07-09 08:39:45.047699,4
80,182,2025-09-08 00:00:00,2025-09-08 05:31:43.549411,4
81,77,2026-06-15 00:00:00,2026-06-15 13:30:27.415956,4
82,83,2025-11-03 00:00:00,2025-11-03 01:12:16.019256,2
83,70,2025-12-13 00:00:00,2025-12-13 01:10:13.105928,4
84,74,2026-02-11 00:00:00,2026-02-11 08:09:38.809531,2
85,140,2025-09-25 00:00:00,2025-09-26 19:17:31.222468,3
86,119,2026-05-23 00:00:00,2026-05-23 05:03:49.246906,3
87,99,2025-07-10 00:00:00,2025-07-10 04:27:53.175291,4
88,24,2026-01-05 00:00:00,2026-01-05 07:29:21.969793,4
89,43,2025-07-06 00:00:00,2025-07-06 19:03:51.085594,3
90,149,2026-05-17 00:00:00,2026-05-17 03:18:25.606721,4
91,137,2025-09-16 00:00:00,2025-09-16 02:32:29.297696,3
92,229,2025-11-02 00:00:00,2025-11-02 00:33:08.250774,4
93,181,2025-11-10 00:00:00,2025-11-10 07:36:52.164863,5
94,42,2026-05-04 00:00:00,2026-05-04 09:35:59.628620,1
95,197,2026-05-11 00:00:00,2026-05-11 05:48:51.143445,1
96,65,2026-05-06 00:00:00,2026-05-07 00:24:18.191339,3
97,107,2026-01-06 00:00:00,2026-01-06 02:54:43.395907,1
98,92,2026-06-13 00:00:00,2026-06-13 05:55:50.124527,5
99,18,2025-10-22 00:00:00,2025-10-22 02:05:23.938591,1
100,121,2026-06-13 00:00:00,2026-06-13 09:17:58.959435,3
101,230,2026-06-27 00:00:00,2026-06-27 03:25:58.356807,1
102,212,2026-03-27 00:00:00,2026-03-27 17:34:55.642470,3
103,140,2025-07-21 00:00:00,2025-07-21 22:08:52.385865,5
104,202,2025-07-04 00:00:00,2025-07-04 01:34:48.365266,1
105,2,2025-10-24 00:00:00,2025-10-24 01:23:17.607157,4
106,125,2025-11-09 00:00:00,2025-11-09 04:17:24.974817,2
107,114,2026-04-30 00:00:00,2026-04-30 04:44:08.200052,4
108,58,2025-12-30 00:00:00,2025-12-30 05:14:38.972035,2
109,70,2025-10-31 00:00:00,2025-10-31 01:22:25.766046,3
110,64,2026-06-02 00:00:00,2026-06-02 09:13:02.138251,5
111,87,2026-04-27 00:00:00,2026-04-27 01:51:59.262782,5
112,53,2025-09-03 00:00:00,2025-09-03 10:56:02.558190,5
113,114,2026-05-27 00:00:00,2026-05-27 12:08:34.306228,3
114,162,2025-12-25 00:00:00,2025-12-25 07:56:56.802792,2
115,42,2025-09-11 00:00:00,2025-09-11 03:02:25.720603,2
116,45,2025-11-01 00:00:00,2025-11-01 00:45:39.762335,2
117,152,2025-11-11 00:00:00,2025-11-11 01:42:50.350863,2
118,209,2026-01-22 00:00:00,2026-01-22 01:57:32.225034,5
119,174,2026-01-20 00:00:00,2026-01-20 03:58:30.211422,1
120,3,2026-04-24 00:00:00,2026-04-24 04:16:38.297104,4
121,89,2025-09-26 00:00:00,2025-09-26 04:36:49.991732,2
122,211,2026-03-09 00:00:00,2026-03-09 05:58:44.241515,2
123,143,2025-12-30 00:00:00,2025-12-30 12:23:02.334994,1
124,154,2025-08-05 00:00:00,2025-08-05 00:45:37.436595,1
125,12,2026-04-11 00:00:00,2026-04-11 19:05:31.855064,4
126,174,2025-12-24 00:00:00,2025-12-24 00:50:54.343465,3
127,98,2026-02-23 00:00:00,2026-02-23 03:15:59.173688,5
128,62,2025-08-31 00:00:00,2025-08-31 05:17:35.921495,5
129,151,2026-04-23 00:00:00,2026-04-23 11:21:54.076293,1
130,9,2026-05-03 00:00:00,2026-05-04 20:15:24.689661,2
131,230,2025-08-10 00:00:00,2025-08-10 03:07:41.805919,5
132,204,2026-03-14 00:00:00,2026-03-14 04:21:12.597530,3
133,22,2026-03-20 00:00:00,2026-03-20 23:56:48.259912,2
134,102,2025-10-04 00:00:00,2025-10-04 19:06:41.429669,1
135,186,2026-04-04 00:00:00,2026-04-04 06:22:39.117878,4
136,221,2025-09-23 00:00:00,2025-09-23 04:32:23.447811,5
137,100,2026-02-01 00:00:00,2026-02-01 05:45:38.102373,3
138,226,2025-11-14 00:00:00,2025-11-14 14:34:57.683734,5
139,46,2026-06-20 00:00:00,2026-06-20 01:21:32.425488,5
140,222,2026-04-06 00:00:00,2026-04-06 03:53:25.715891,3
141,81,2026-05-04 00:00:00,2026-05-04 02:33:52.026656,4
142,239,2026-06-26 00:00:00,2026-06-26 14:54:51.723496,1
143,115,2026-05-25 00:00:00,2026-05-25 04:07:43.972040,2
144,155,2026-02-14 00:00:00,2026-02-14 06:24:19.635682,3
145,48,2025-08-01 00:00:00,2025-08-01 04:43:35.225693,2
146,232,2026-01-01 00:00:00,2026-01-01 00:49:23.615490,1
147,216,2026-05-08 00:00:00,2026-05-08 05:56:17.664185,4
148,173,2025-12-02 00:00:00,2025-12-02 08:27:04.262029,3
149,197,2026-04-03 00:00:00,2026-04-03 03:44:29.223353,1
150,43,2026-01-05 00:00:00,2026-01-05 01:58:20.304909,2
151,188,2026-06-28 00:00:00,2026-06-28 01:14:43.324863,1
152,228,2025-08-07 00:00:00,2025-08-07 01:03:46.211960,3
153,170,2026-03-03 00:00:00,2026-03-03 01:57:07.306656,3
154,24,2026-03-21 00:00:00,2026-03-21 07:09:53.295556,4
155,198,2026-02-25 00:00:00,2026-02-25 05:29:57.136223,1
156,31,2025-11-01 00:00:00,2025-11-01 05:32:12.349455,4
157,173,2026-02-26 00:00:00,2026-02-26 03:43:06.794203,2
158,192,2025-08-21 00:00:00,2025-08-21 08:31:16.387478,1
159,52,2025-10-08 00:00:00,2025-10-08 08:03:47.015691,2
160,68,2025-09-16 00:00:00,2025-09-16 05:58:25.335402,2
161,87,2026-02-10 00:00:00,2026-02-10 04:56:17.829133,3
162,124,2025-10-23 00:00:00,2025-10-23 05:41:11.256234,2
163,5,2026-05-02 00:00:00,2026-05-02 04:24:52.331390,3
164,10,2026-04-16 00:00:00,2026-04-16 11:47:26.158202,4
165,237,2025-07-28 00:00:00,2025-07-28 06:46:26.188400,2
166,230,2026-01-08 00:00:00,2026-01-08 02:37:46.690487,1
167,106,2025-10-17 00:00:00,2025-10-19 07:47:33.783484,3
168,149,2026-01-05 00:00:00,2026-01-05 12:13:39.163815,2
169,15,2026-05-02 00:00:00,2026-05-03 00:32:08.712721,3
170,88,2025-08-12 00:00:00,2025-08-12 08:32:59.135559,4
171,1,2025-10-22 00:00:00,2025-10-22 08:29:28.808773,1
172,69,2026-01-17 00:00:00,2026-01-17 02:08:41.349813,5
173,71,2026-06-11 00:00:00,2026-06-11 03:14:37.876917,5
174,16,2025-09-12 00:00:00,2025-09-12 05:39:35.444597,1
175,179,2025-11-16 00:00:00,2025-11-16 00:54:51.363378,4
176,164,2025-07-12 00:00:00,2025-07-12 01:36:25.645200,3
177,194,2026-03-19 00:00:00,2026-03-19 01:13:49.892908,5
178,74,2025-12-09 00:00:00,2025-12-09 01:45:13.249987,1
179,86,2025-08-29 00:00:00,2025-08-30 18:34:38.340413,3
180,180,2025-08-07 00:00:00,2025-08-07 03:34:45.486648,3
181,90,2025-09-29 00:00:00,2025-09-30 03:59:38.040705,3
182,212,2026-06-11 00:00:00,2026-06-11 00:52:31.989014,5
183,174,2025-11-29 00:00:00,2025-11-29 03:07:28.039997,2
184,84,2026-03-02 00:00:00,2026-03-02 08:51:22.449262,2
185,174,2025-11-02 00:00:00,2025-11-02 02:25:36.483444,3
186,135,2025-07-23 00:00:00,2025-07-23 02:34:19.157004,1
187,63,2025-12-14 00:00:00,2025-12-14 01:22:08.481456,2
188,148,2025-08-06 00:00:00,2025-08-06 04:46:08.122133,4
189,209,2025-08-05 00:00:00,2025-08-05 03:40:59.460338,2
190,122,2026-05-14 00:00:00,2026-05-14 01:38:52.744110,2
191,113,2026-01-12 00:00:00,2026-01-12 03:57:30.324748,4
192,20,2026-06-27 00:00:00,2026-06-27 02:32:39.398628,3
193,71,2025-07-01 00:00:00,2025-07-01 02:27:19.333420,4
194,232,2026-03-28 00:00:00,2026-03-28 10:17:50.379663,4
195,103,2025-11-26 00:00:00,2025-11-26 06:44:20.404929,5
196,89,2026-02-24 00:00:00,2026-02-24 07:59:16.309963,3
197,178,2026-02-11 00:00:00,2026-02-11 04:57:17.183143,5
198,211,2026-04-14 00:00:00,2026-04-14 00:57:25.587021,2
199,201,2026-04-28 00:00:00,2026-04-28 02:09:06.324540,2
200,122,2026-05-25 00:00:00,2026-05-25 01:44:15.593693,3
201,120,2026-03-11 00:00:00,2026-03-11 01:04:15.130469,5
202,222,2026-02-04 00:00:00,2026-02-04 12:07:48.340631,3
203,99,2026-03-21 00:00:00,2026-03-21 06:13:39.132154,1
204,131,2025-11-04 00:00:00,2025-11-04 02:50:18.778927,3
205,148,2026-03-01 00:00:00,2026-03-01 20:55:30.303523,5
206,185,2025-09-06 00:00:00,2025-09-06 09:46:00.573006,3
207,128,2025-10-02 00:00:00,2025-10-02 02:05:09.493782,4
208,77,2026-01-03 00:00:00,2026-01-03 03:47:36.249949,1
209,174,2026-03-29 00:00:00,2026-03-29 00:32:29.851365,5
210,63,2026-02-17 00:00:00,2026-02-18 07:10:31.817871,2
211,182,2026-05-18 00:00:00,2026-05-19 08:20:57.354690,3
212,112,2025-12-26 00:00:00,2025-12-26 01:39:27.209187,2
213,142,2026-06-18 00:00:00,2026-06-18 03:28:58.968174,3
214,48,2025-12-23 00:00:00,2025-12-23 04:36:50.934243,5
215,200,2026-04-11 00:00:00,2026-04-11 14:43:55.771354,4
216,132,2025-10-31 00:00:00,2025-10-31 06:15:57.469106,1
217,32,2025-12-26 00:00:00,2025-12-26 03:48:47.383312,1
218,101,2025-11-18 00:00:00,2025-11-19 12:02:09.881828,5
219,121,2026-03-21 00:00:00,2026-03-21 06:03:09.125107,2
220,128,2025-09-16 00:00:00,2025-09-16 10:24:10.138747,4
221,183,2025-10-03 00:00:00,2025-10-03 00:25:01.108945,5
222,20,2026-04-06 00:00:00,2026-04-06 04:06:50.763954,1
223,120,2026-01-02 00:00:00,2026-01-02 01:56:08.967537,5
224,28,2025-09-15 00:00:00,2025-09-15 06:02:09.458003,2
225,46,2025-10-11 00:00:00,2025-10-11 03:58:49.272545,2
226,178,2026-05-22 00:00:00,2026-05-22 07:28:44.613165,3
227,35,2026-03-01 00:00:00,2026-03-01 01:21:07.482417,2
228,17,2025-07-19 00:00:00,2025-07-19 05:41:11.082950,1
229,236,2026-06-23 00:00:00,2026-06-23 04:50:01.088132,2
230,81,2025-08-20 00:00:00,2025-08-20 03:47:28.993108,3
231,60,2026-05-17 00:00:00,2026-05-17 16:10:12.352341,4
232,167,2025-08-04 00:00:00,2025-08-04 05:56:40.967031,1
233,39,2026-05-01 00:00:00,2026-05-01 06:29:02.863896,1
234,177,2025-12-17 00:00:00,2025-12-17 06:20:46.354443,1
235,213,2026-04-26 00:00:00,2026-04-26 08:51:19.447354,4
236,240,2026-06-26 00:00:00,2026-06-26 13:13:19.951230,3
237,22,2025-07-08 00:00:00,2025-07-08 12:24:31.175489,4
238,100,2025-09-20 00:00:00,2025-09-20 02:17:29.196004,3
239,229,2025-08-06 00:00:00,2025-08-06 00:35:27.205922,2
240,68,2025-08-30 00:00:00,2025-08-30 00:37:18.152708,1
241,65,2026-05-23 00:00:00,2026-05-23 02:17:04.567165,3
242,113,2026-06-05 00:00:00,2026-06-06 08:23:07.242161,5
243,176,2026-02-11 00:00:00,2026-02-11 13:04:15.982079,2
244,125,2025-11-29 00:00:00,2025-11-29 01:04:26.538588,5
245,103,2026-01-28 00:00:00,2026-01-28 02:10:34.702249,2
246,67,2025-09-23 00:00:00,2025-09-23 17:36:39.745962,3
247,57,2025-08-17 00:00:00,2025-08-17 03:15:42.832111,2
248,82,2026-01-15 00:00:00,2026-01-15 12:44:29.956071,5
249,40,2026-04-04 00:00:00,2026-04-04 05:55:13.802530,4
250,58,2026-05-30 00:00:00,2026-05-30 01:07:49.241413,5
251,78,2025-09-07 00:00:00,2025-09-07 23:47:45.157809,4
252,6,2025-10-11 00:00:00,2025-10-11 04:24:09.667051,2
253,103,2025-10-22 00:00:00,2025-10-23 00:19:39.794279,4
254,70,2026-01-01 00:00:00,2026-01-01 02:31:11.245448,3
255,3,2026-01-06 00:00:00,2026-01-06 06:39:50.880640,2
256,55,2025-09-30 00:00:00,2025-09-30 11:12:43.045678,2
257,151,2026-01-29 00:00:00,2026-01-29 08:30:15.926157,3
258,218,2025-11-12 00:00:00,2025-11-12 02:45:28.977440,5
259,156,2025-10-30 00:00:00,2025-10-30 01:13:08.054146,3
260,12,2025-10-23 00:00:00,2025-10-23 09:33:22.867869,1
261,8,2026-02-14 00:00:00,2026-02-14 01:33:18.894414,1
262,104,2025-10-23 00:00:00,2025-10-23 10:22:03.450686,4
263,172,2026-02-26 00:00:00,2026-02-26 05:42:08.615774,2
264,232,2025-10-17 00:00:00,2025-10-17 08:38:02.471096,4
265,237,2026-03-07 00:00:00,2026-03-07 02:52:14.264795,1
266,87,2026-06-16 00:00:00,2026-06-16 02:19:01.604524,2
267,232,2026-06-05 00:00:00,2026-06-05 01:54:25.470202,4
268,119,2025-12-06 00:00:00,2025-12-06 21:13:14.333444,1
269,158,2026-06-24 00:00:00,2026-06-24 00:49:14.253938,1
270,35,2025-07-07 00:00:00,2025-07-07 01:29:28.753259,5
271,131,2026-02-26 00:00:00,2026-02-26 02:03:50.469183,3
272,208,2025-12-27 00:00:00,2025-12-28 09:03:13.529063,2
273,135,2026-06-02 00:00:00,2026-06-02 07:27:37.189431,5
274,32,2026-02-08 00:00:00,2026-02-08 11:16:48.457964,2
275,184,2026-01-03 00:00:00,2026-01-03 01:14:34.865365,1
276,104,2026-06-26 00:00:00,2026-06-26 00:57:25.177684,5
277,27,2026-05-10 00:00:00,2026-05-10 02:54:24.203087,3
278,148,2025-12-10 00:00:00,2025-12-10 02:29:05.004581,1
279,73,2026-05-06 00:00:00,2026-05-06 11:02:53.496443,1
280,115,2025-08-29 00:00:00,2025-08-29 02:34:13.159335,4
281,160,2026-04-03 00:00:00,2026-04-03 08:05:26.265141,4
282,190,2025-12-05 00:00:00,2025-12-05 02:32:37.663467,2
283,208,2025-09-30 00:00:00,2025-09-30 07:22:35.182377,2
284,59,2025-10-02 00:00:00,2025-10-02 03:45:24.667130,1
285,43,2025-08-02 00:00:00,2025-08-02 01:11:39.826429,1
286,186,2025-10-09 00:00:00,2025-10-09 10:11:54.509743,4
287,9,2025-09-20 00:00:00,2025-09-20 06:58:16.430021,3
288,148,2026-04-19 00:00:00,2026-04-19 10:27:49.580103,4
289,103,2025-10-22 00:00:00,2025-10-22 07:06:07.027961,2
290,180,2026-04-21 00:00:00,2026-04-21 08:18:55.850928,2
291,171,2025-10-11 00:00:00,2025-10-11 03:22:37.333087,4
292,112,2025-12-30 00:00:00,2025-12-30 03:31:35.159275,3
293,190,2026-03-02 00:00:00,2026-03-02 06:51:26.937512,3
294,110,2026-06-29 00:00:00,2026-06-29 04:53:34.789486,4
295,140,2026-03-27 00:00:00,2026-03-27 01:11:38.385726,3
296,93,2025-10-12 00:00:00,2025-10-12 07:56:51.804069,1
297,222,2025-11-07 00:00:00,2025-11-07 03:01:41.939866,1
298,201,2026-01-20 00:00:00,2026-01-20 03:06:34.070053,5
299,9,2026-01-20 00:00:00,2026-01-20 23:25:16.552168,2
300,77,2025-11-27 00:00:00,2025-11-27 12:52:10.286937,5
301,135,2025-11-14 00:00:00,2025-11-14 00:37:47.087047,1
302,146,2026-03-01 00:00:00,2026-03-01 03:28:43.063204,4
303,152,2025-08-20 00:00:00,2025-08-20 01:28:08.952168,1
304,5,2026-04-15 00:00:00,2026-04-15 13:38:09.036143,3
305,147,2026-05-18 00:00:00,2026-05-18 06:29:40.501166,3
306,126,2026-03-16 00:00:00,2026-03-16 10:56:53.008647,3
307,54,2026-02-13 00:00:00,2026-02-13 02:05:55.415318,1
308,30,2025-10-28 00:00:00,2025-10-28 03:48:42.787117,5
309,156,2026-04-30 00:00:00,2026-04-30 06:28:04.633423,5
310,48,2026-06-01 00:00:00,2026-06-01 17:05:02.717151,5
311,131,2026-02-27 00:00:00,2026-02-28 17:43:01.373915,5
312,125,2025-09-23 00:00:00,2025-09-23 13:54:56.767395,3
313,188,2026-02-17 00:00:00,2026-02-17 08:16:20.859942,5
314,189,2025-10-02 00:00:00,2025-10-02 00:46:24.927753,4
315,146,2026-06-05 00:00:00,2026-06-05 00:45:47.826166,5
316,54,2026-04-09 00:00:00,2026-04-09 02:53:38.569199,2
317,84,2026-05-10 00:00:00,2026-05-10 11:32:27.779611,1
318,160,2026-06-26 00:00:00,2026-06-26 08:39:07.762028,4
319,203,2025-09-15 00:00:00,2025-09-15 01:38:51.688385,4
320,40,2026-03-02 00:00:00,2026-03-02 01:57:54.925335,1
321,186,2025-07-31 00:00:00,2025-07-31 12:16:16.101130,5
322,164,2026-02-13 00:00:00,2026-02-13 05:14:22.742376,4
323,126,2026-04-01 00:00:00,2026-04-01 02:03:24.716588,2
324,53,2026-02-09 00:00:00,2026-02-09 01:50:01.893004,2
325,116,2025-08-25 00:00:00,2025-08-25 09:47:00.955317,2
326,99,2025-10-14 00:00:00,2025-10-14 22:25:54.820721,3
327,42,2026-05-30 00:00:00,2026-05-30 00:55:31.687954,3
328,106,2025-12-18 00:00:00,2025-12-18 02:55:25.540482,2
329,129,2025-09-19 00:00:00,2025-09-19 03:54:19.910771,3
330,223,2026-04-01 00:00:00,2026-04-01 03:46:33.464358,3
331,91,2025-09-06 00:00:00,2025-09-06 05:00:37.175231,4
332,107,2026-02-25 00:00:00,2026-02-25 02:16:04.288269,5
333,101,2026-04-16 00:00:00,2026-04-16 23:49:31.112952,5
334,234,2026-03-06 00:00:00,2026-03-06 04:51:15.411643,2
335,47,2026-06-09 00:00:00,2026-06-09 04:01:58.039499,5
336,222,2025-12-10 00:00:00,2025-12-10 02:59:35.417846,4
337,196,2026-01-04 00:00:00,2026-01-04 01:21:03.475526,4
338,44,2025-09-13 00:00:00,2025-09-13 07:37:11.309302,5
339,32,2025-08-22 00:00:00,2025-08-22 02:24:17.214493,1
340,199,2025-11-13 00:00:00,2025-11-13 13:35:01.506631,2
341,51,2026-05-12 00:00:00,2026-05-14 15:38:34.050269,1
342,83,2025-07-27 00:00:00,2025-07-27 05:26:24.098185,4
343,136,2026-01-27 00:00:00,2026-01-27 04:03:55.169559,1
344,162,2025-11-14 00:00:00,2025-11-14 01:37:05.231342,2
345,25,2025-12-09 00:00:00,2025-12-09 12:02:42.142413,5
346,143,2025-11-07 00:00:00,2025-11-07 03:03:18.656715,5
347,83,2026-06-30 00:00:00,2026-06-30 09:07:15.891827,1
348,202,2025-08-03 00:00:00,2025-08-03 06:33:33.641274,2
349,45,2026-03-20 00:00:00,2026-03-20 04:09:48.391397,1
350,163,2026-04-25 00:00:00,2026-04-25 00:37:26.282355,1
351,31,2025-08-04 00:00:00,2025-08-04 03:08:36.471442,4
352,202,2025-09-24 00:00:00,2025-09-24 02:02:24.237468,5
353,99,2026-03-09 00:00:00,2026-03-09 11:27:14.624789,5
354,240,2026-01-16 00:00:00,2026-01-16 02:10:25.717906,2
355,114,2026-02-17 00:00:00,2026-02-17 00:37:41.425410,5
356,127,2025-11-24 00:00:00,2025-11-24 03:57:51.407480,5
357,136,2025-09-18 00:00:00,2025-09-18 09:15:44.002265,1
358,54,2026-03-11 00:00:00,2026-03-11 02:32:30.243836,4
359,224,2026-02-09 00:00:00,2026-02-09 06:25:25.806228,5
360,52,2025-09-12 00:00:00,2025-09-12 01:53:49.105828,5
361,214,2026-03-04 00:00:00,2026-03-04 10:50:41.348017,1
362,29,2025-12-09 00:00:00,2025-12-09 04:58:19.599725,2
363,87,2026-05-18 00:00:00,2026-05-18 05:52:04.141429,1
364,105,2026-06-29 00:00:00,2026-07-01 16:59:17.275138,3
365,35,2026-04-18 00:00:00,2026-04-19 17:32:41.381730,2
366,62,2026-02-26 00:00:00,2026-02-26 02:55:00.510267,2
367,212,2025-12-22 00:00:00,2025-12-22 06:38:09.067130,3
368,34,2025-09-22 00:00:00,2025-09-22 01:39:32.898568,3
369,129,2025-11-05 00:00:00,2025-11-05 05:35:50.328910,2
370,82,2026-05-15 00:00:00,2026-05-15 03:35:58.503042,1
371,162,2025-08-18 00:00:00,2025-08-18 07:44:13.545351,5
372,182,2025-11-26 00:00:00,2025-11-26 03:44:32.391496,5
373,175,2026-04-07 00:00:00,2026-04-07 01:24:36.781463,2
374,25,2025-10-08 00:00:00,2025-10-08 03:27:36.604031,2
375,37,2025-07-15 00:00:00,2025-07-15 05:55:19.170273,1
376,101,2026-06-18 00:00:00,2026-06-18 03:32:48.668195,3
377,176,2026-02-25 00:00:00,2026-02-25 02:50:20.557256,4
378,163,2025-12-15 00:00:00,2025-12-15 16:50:39.498335,5
379,195,2025-09-04 00:00:00,2025-09-04 04:48:08.400519,4
380,109,2026-01-31 00:00:00,2026-01-31 01:38:08.723547,2
